,정전피해_지역,피해_가구수,시작시간,종료시간
130,전라남도 장성군,1000,2021.07.22 14:20 , 2021.07.22 14:22
131,경상북도 영주시,2000,2021.07.22 14:20 , 2021.07.22 14:19
132,경상남도 양산시,2000,2021.07.22 14:20 , 2021.07.22 14:39
133,경상북도 포항시 남구,2000,2021.07.22 14:20 , 2021.07.22 14:21
134,경상북도 구미시,2000,2021.07.22 14:20 , 2021.07.22 14:39
135,경상북도 봉화군,2000,2021.07.22 14:20 , 2021.07.22 14:18
136,전라남도 장성군,2000,2021.07.22 14:20 , 2021.07.22 14:30
137,전라남도 해남군,2000,2021.07.22 14:20 , 2021.07.22 14:39
138,경상북도 예천군,2000,2021.07.22 14:20 , 2021.07.22 14:18
139,경상북도 의성군,2000,2021.07.22 14:20 , 2021.07.22 14:22
140,경상북도 청송군,2000,2021.07.22 14:20 , 2021.07.22 14:18
141,경상북도 성주군,2000,2021.07.22 14:20 , 2021.07.22 14:20
142,광주광역시 남구,2000,2021.07.22 14:20 , 2021.07.22 14:37
143,부산광역시 사하구,2000,2021.07.22 14:20 , 2021.07.22 14:35
144,경기도 동두천시,2000,2021.07.22 14:20 , 2021.07.22 14:34
145,경기도 남양주시,2000,2021.07.22 14:20 , 2021.07.22 14:40
146,부산광역시 강서구,2000,2021.07.22 14:20 , 2021.07.22 14:23
147,대구광역시 달성군,2000,2021.07.22 14:20 , 2021.07.22 14:21
148,강원도 강릉시,2000,2021.07.22 14:20 , 2021.07.22 14:36
149,강원도 횡성군,2000,2021.07.22 14:20 , 2021.07.22 14:39
150,강원도 강릉시,2000,2021.07.22 14:20 , 2021.07.22 14:40
151,제주특별자치도 제주시,2000,2021.07.22 14:20 , 2021.07.22 14:23
152,강원도 철원군,2000,2021.07.22 14:20 , 2021.07.22 14:39
153,강원도 영월군,2000,2021.07.22 14:20 , 2021.07.22 14:34
154,강원도 평창군,2000,2021.07.22 14:20 , 2021.07.22 14:38
155,강원도 인제군,2000,2021.07.22 14:20 , 2021.07.22 14:36
156,강원도 태백시,2000,2021.07.22 14:20 , 2021.07.22 14:37
157,강원도 동해시,2000,2021.07.22 14:20 , 2021.07.22 14:36
158,강원도 원주시,2000,2021.07.22 14:20 , 2021.07.22 14:40
159,강원도 고성군,2000,2021.07.22 14:20 , 2021.07.22 14:19
160,대구광역시 북구,2000,2021.07.22 14:19 , 2021.07.22 14:39
161,경상북도 포항시 북구,2000,2021.07.22 14:19 , 2021.07.22 14:19
162,경상북도 봉화군,2000,2021.07.22 14:19 , 2021.07.22 14:18
163,경상북도 고령군,2500,2021.07.22 14:19 , 2021.07.22 14:38
164,경상남도 함안군,2000,2021.07.22 14:19 , 2021.07.22 14:38
165,전라남도 구례군,2000,2021.07.22 14:19 , 2021.07.22 14:22
166,충청북도 제천시,2000,2021.07.22 14:19 , 2021.07.22 14:20
167,경기도 김포시,2000,2021.07.22 14:18 , 2021.07.22 14:35
168,충청북도 음성군,20000,2021.07.22 14:18 , 2021.07.22 14:22
169,충청북도 옥천군,2000,2021.07.22 14:18 , 2021.07.22 14:37
170,전라남도 담양군,2000,2021.07.22 14:18 , 2021.07.22 14:38
171,경상남도 고성군,2000,2021.07.22 14:18 , 2021.07.22 14:38
172,경상남도 밀양시,2000,2021.07.22 14:18 , 2021.07.22 14:37
173,전라남도 보성군,1000,2021.07.22 14:18 , 2021.07.22 14:23
174,경상남도 하동군,2000,2021.07.22 14:18 , 2021.07.22 14:38
175,경상남도 거창군,2000,2021.07.22 14:18 , 2021.07.22 14:40
176,경상남도 통영시,2000,2021.07.22 14:18 , 2021.07.22 14:36
177,경기도 시흥시,2000,2021.07.22 14:18 , 2021.07.22 14:36
178,경기도 시흥시,2000,2021.07.22 14:18 , 2021.07.22 14:36
179,인천광역시 서구,2000,2021.07.22 14:18 , 2021.07.22 14:37
180,인천광역시 계양구,2000,2021.07.22 14:18 , 2021.07.22 14:36
181,인천광역시 부평구,2000,2021.07.22 14:18 , 2021.07.22 14:36
182,인천광역시 강화군,2000,2021.07.22 14:18 , 2021.07.22 14:36
183,대구광역시 달성군,2000,2021.07.22 14:18 , 2021.07.22 14:20
184,인천광역시 중구,2000,2021.07.22 14:18 , 2021.07.22 14:36
185,경상남도 창원시 진해구,2000,2021.07.22 14:18 , 2021.07.22 14:37
186,경기도 부천시,2000,2021.07.22 14:18 , 2021.07.22 14:38
187,인천광역시 미추홀구,2000,2021.07.22 14:18 , 2021.07.22 14:36
188,강원도 양양군,1000,2021.07.22 14:18 , 2021.07.22 13:00
189,경상남도 창원시 마산합포구,2001,2021.07.22 14:17 , 2021.07.22 14:16
190,강원도 태백시,2000,2021.07.22 14:17 , 2021.07.22 14:37
191,서울특별시 금천구,2000,2021.07.22 14:17 , 2021.07.22 14:27
192,경기도 하남시,2000,2021.07.22 14:17 , 2021.07.22 14:31
193,인천광역시 옹진군,2000,2021.07.22 14:17 , 2021.07.22 14:36
194,경기도 고양시 덕양구,2000,2021.07.22 14:17 , 2021.07.22 14:34
195,경상남도 진주시,2000,2021.07.22 14:17 , 2021.07.22 14:35
196,경상남도 통영시,2000,2021.07.22 14:17 , 2021.07.22 14:35
197,경상북도 경주시,2000,2021.07.22 14:17 , 2021.07.22 14:19
198,경상남도 합천군,2000,2021.07.22 14:17 , 2021.07.22 14:40
199,전라북도 무주군,2000,2021.07.22 14:17 , 2021.07.22 14:38
200,전라북도 전주시 완산구,2000,2021.07.22 14:17 , 2021.07.22 14:37
201,경기도 양평군,2000,2021.07.22 14:17 , 2021.07.22 14:33
202,전라북도 임실군,2000,2021.07.22 14:17 , 2021.07.22 14:38
203,전라북도 남원시,2000,2021.07.22 14:17 , 2021.07.22 14:38
204,전라북도 장수군,2000,2021.07.22 14:17 , 2021.07.22 14:43
205,전라북도 부안군,2000,2021.07.22 14:17 , 2021.07.22 14:42
206,전라북도 정읍시,2000,2021.07.22 14:17 , 2021.07.22 14:38
207,전라북도 진안군,2000,2021.07.22 14:17 , 2021.07.22 14:38
208,전라북도 군산시,2000,2021.07.22 14:17 , 2021.07.22 14:17
209,전라북도 익산시,2000,2021.07.22 14:17 , 2021.07.22 14:37
210,전라북도 익산시,2000,2021.07.22 14:17 , 2021.07.22 14:40
211,전라북도 김제시,2000,2021.07.22 14:17 , 2021.07.22 14:41
212,전라북도 전주시 덕진구,2000,2021.07.22 14:17 , 2021.07.22 14:37
213,전라북도 순창군,2000,2021.07.22 14:17 , 2021.07.22 14:37
214,전라북도 김제시,2000,2021.07.22 14:17 , 2021.07.22 14:37
215,전라북도 고창군,2000,2021.07.22 14:17 , 2021.07.22 14:42
216,경기도 연천군,2000,2021.07.22 14:16 , 2021.07.22 14:36
217,서울특별시 영등포구,2000,2021.07.22 14:16 , 2021.07.22 14:31
218,경기도 평택시,2000,2021.07.22 14:16 , 2021.07.22 14:27
219,서울특별시 서초구,2000,2021.07.22 14:16 , 2021.07.22 14:31
220,경상남도 창원시 의창구,2000,2021.07.22 14:16 , 2021.07.22 14:39
221,강원도 동해시,2000,2021.07.22 14:15 , 2021.07.22 14:20
222,강원도 홍천군,2000,2021.07.22 14:15 , 2021.07.22 14:20
223,경기도 고양시 일산동구,2000,2021.07.22 14:15 , 2021.07.22 14:32
224,경기도 의정부시,2000,2021.07.22 14:15 , 2021.07.22 14:38
225,서울특별시 강남구,2000,2021.07.22 14:15 , 2021.07.22 14:30
226,서울특별시 구로구,2000,2021.07.22 14:15 , 2021.07.22 14:28
227,서울특별시 관악구,2000,2021.07.22 14:15 , 2021.07.22 14:25
228,경상북도 칠곡군,2000,2021.07.22 14:15 , 2021.07.22 14:20
229,서울특별시 강남구,2000,2021.07.22 14:14 , 2021.07.22 14:26
230,서울특별시 강북구,2000,2021.07.22 14:14 , 2021.07.22 14:28
231,서울특별시 강서구,2000,2021.07.22 14:14 , 2021.07.22 14:26
232,경기도 가평군,2000,2021.07.22 14:14 , 2021.07.22 14:32
233,서울특별시 성동구,2000,2021.07.22 14:13 , 2021.07.22 14:26
234,서울특별시 강북구,2000,2021.07.22 14:13 , 2021.07.22 14:27
235,서울특별시 마포구,2000,2021.07.22 14:13 , 2021.07.22 14:27
236,경기도 안양시 만안구,2400,2021.07.22 14:13 , 2021.07.22 14:23
237,서울특별시 노원구,2000,2021.07.22 14:13 , 2021.07.22 14:26
238,경기도 용인시 수지구,2000,2021.07.22 14:13 , 2021.07.22 14:24
239,경기도 여주시,2000,2021.07.22 14:12 , 2021.07.22 14:24
240,경기도 성남시 중원구,2000,2021.07.22 14:12 , 2021.07.22 14:25
241,경기도 성남시 분당구,2000,2021.07.22 14:12 , 2021.07.22 14:29
242,서울특별시 은평구,2000,2021.07.22 14:12 , 2021.07.22 14:26
243,서울특별시 종로구,2000,2021.07.22 14:12 , 2021.07.22 14:26
244,전라남도 나주시,1000,2021.07.22 14:12 , 2021.07.22 14:23
245,경기도 광주시,2000,2021.07.22 14:11 , 2021.07.22 14:22
246,충청북도 영동군,2000,2021.07.22 14:10 , 2021.07.22 14:21
247,경기도 화성시,2000,2021.07.22 14:10 , 2021.07.22 14:18
248,경기도 가평군,2000,2021.07.22 14:10 , 2021.07.22 13:46
249,경기도 오산시,2000,2021.07.22 14:10 , 2021.07.22 14:19
250,경기도 평택시,2000,2021.07.22 14:10 , 2021.07.22 14:19
251,서울특별시 마포구,2000,2021.07.22 14:10 , 2021.07.22 14:26
252,경기도 안성시,2000,2021.07.22 14:10 , 2021.07.22 14:21
253,경기도 파주시,1000,2021.07.22 14:10 , 2021.07.22 14:33
254,경기도 평택시,2000,2021.07.22 14:10 , 2021.07.22 14:23
255,서울특별시 동대문구,2000,2021.07.22 14:10 , 2021.07.22 14:22
256,경상북도 울릉군,2005,2021.07.22 14:10 , 2021.07.22 14:28
257,경상북도 영천시,2100,2021.07.22 14:10 , 2021.07.22 14:21
258,경상북도 울릉군,1005,2021.07.22 14:10 , 2021.07.22 14:44
259,경상북도 울릉군,2005,2021.07.22 14:10 , 2021.07.22 14:52
260,전라남도 영암군,2000,2021.07.22 14:10 , 2021.07.22 14:38
261,경기도 수원시 권선구,2000,2021.07.22 14:09 , 2021.07.22 14:18
262,경기도 하남시,2000,2021.07.22 14:09 , 2021.07.22 14:18
263,경기도 용인시 처인구,2000,2021.07.22 14:05 , 2021.07.22 14:17
264,인천광역시 남동구,2000,2021.07.22 14:05 , 2021.07.22 14:36
265,충청북도 증평군,2000,2021.07.22 14:05 , 2021.07.22 14:40
266,충청남도 논산시,2000,2021.07.22 14:01 , 2021.07.22 14:37
267,충청북도 충주시,2000,2021.07.22 14:00 , 2021.07.22 14:39
268,경기도 가평군,2000,2021.07.22 14:00 , 2021.07.22 14:37
