,공급능력(MW),현재수요(MW),공급예비력(MW),공급예비율(퍼센트),일시,지점명,기온(°C),강수량(mm),풍속(m/s),습도(%)
61397,98255.0,78365.85,19889.15,25.39203333,2018-01-02 11:00:00,서울,-0.4,0,2.3,40.0
61398,98255.0,74385.975,23869.025,32.09125,2018-01-02 12:00:00,서울,0.9,0,1.9,29.0
61399,98255.0,75986.05,22268.95,29.31889167,2018-01-02 13:00:00,서울,1.5,0,3.6,23.0
61400,98255.0,76989.71667,21265.28333,27.62125,2018-01-02 14:00:00,서울,1.7,0,4.4,20.0
61401,98255.0,76914.10833,21340.88333,27.74735833,2018-01-02 15:00:00,서울,1.5,0,3.0,22.0
61402,97921.66667,77713.73333,20207.94167,26.00503333,2018-01-02 16:00:00,서울,1.3,0,2.9,23.0
61403,97755.0,77652.31667,20102.68333,25.88869167,2018-01-02 17:00:00,서울,0.3,0,2.6,27.0
61404,97755.0,76001.7,21753.3,28.63118333,2018-01-02 18:00:00,서울,-0.8,0,2.3,24.0
61405,97755.0,73555.975,24199.025,32.90976667,2018-01-02 19:00:00,서울,-1.3,0,2.4,28.0
61406,98213.33333,71246.725,26966.6,37.86009167,2018-01-02 20:00:00,서울,-1.9,0,2.2,26.0
61407,98255.0,69198.85833,29056.13333,41.994625,2018-01-02 21:00:00,서울,-2.6,0,2.0,28.0
61408,98462.33333,68773.71667,29688.61667,43.170725,2018-01-02 22:00:00,서울,-3.4,0,2.4,33.0
61409,98877.0,70111.88333,28765.11667,41.03876667,2018-01-02 23:00:00,서울,-3.8,0,2.3,35.0
61410,98877.0,66839.94167,32037.05833,47.959375,2018-01-03 00:00:00,서울,-4.3,0,1.4,38.0
61411,98877.0,64421.05833,34455.94167,53.49073333,2018-01-03 01:00:00,서울,-5.0,0,1.2,42.0
61412,98877.0,63932.55833,34944.44167,54.65959167,2018-01-03 02:00:00,서울,-5.5,0,2.0,43.0
61413,98877.0,64361.25833,34515.74167,53.6323,2018-01-03 03:00:00,서울,-6.1,0,1.3,45.0
61414,98877.0,65344.23333,33532.76667,51.32004167,2018-01-03 04:00:00,서울,-6.1,0,2.3,45.0
61415,98877.0,66652.025,32224.975,48.35415,2018-01-03 05:00:00,서울,-6.4,0,2.4,47.0
61416,98668.75,69702.05833,28966.69167,41.59966667,2018-01-03 06:00:00,서울,-6.7,0,2.4,48.0
