,year,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트)
55,2013,25,59402.05031828704,73989.39930555556,25.647551815104165
56,2013,26,59706.319348958335,73699.21469907407,24.654927000578702
57,2013,27,58847.54260127315,73429.62962962962,25.85020725954861
58,2013,28,58874.50659143519,73137.10185185185,25.275346629340277
59,2013,29,58909.37258522728,73254.57481060606,25.394880047032828
60,2013,30,58372.03137941919,73001.32796717172,25.881318528724748
61,2013,31,57425.390188492056,74077.28373015873,29.82788369593254
62,2014,1,56634.76398726852,77533.30902777778,38.57153264322917
63,2014,2,57599.81889756944,77525.99652777778,36.264271250964505
64,2014,3,59383.04152199074,77826.19270833333,32.32977560763889
65,2014,4,59795.42790851221,77970.14293981482,31.84086079548085
66,2014,5,58859.52564525463,78053.93055555556,34.205258502025465
67,2014,6,58345.49915219907,77861.05005787038,34.80608465885417
68,2014,7,59096.49646412037,78019.51244212962,33.810151573206014
69,2014,8,58385.68104166667,77825.98090277778,35.64828423350694
70,2014,9,57958.010804398145,77520.87065972222,36.15343775289352
71,2014,10,60274.01210648149,77562.80034722222,30.743491645175716
72,2014,11,60484.28783854167,77756.84519675927,29.89471745515046
73,2014,12,60070.77724826389,77844.03356481482,30.74959693460648
74,2014,13,60343.43007523149,77549.55295138889,29.62506583478009
75,2014,14,60474.60848668981,77652.43171296296,29.471913023726852
76,2014,15,60106.585098379626,77407.64554398149,29.795158972800923
77,2014,16,59573.199062499996,77246.11024305556,30.895330643807867
78,2014,17,61216.83636863426,78007.3214699074,28.661213104745368
79,2014,18,60954.21403619528,78329.20543981482,29.60422246133207
80,2014,19,60286.98081886574,78054.58738425927,30.555636820023146
81,2014,20,60206.57324047769,78146.38717908249,30.865763808396466
82,2014,21,60655.220341172135,78603.30844907407,30.782413735190445
83,2014,22,60499.02780092593,78457.69762731482,30.732724730902778
84,2014,23,59546.314619212964,78311.8203125,32.64810471122686
85,2014,24,60622.83143229167,78288.31712962962,30.11582423321759
86,2014,25,59990.135698477825,78089.62152777778,31.094815603246005
87,2014,26,59389.36349484428,77856.10300925927,32.022969203125
88,2014,27,59067.28045717593,78259.88194444444,33.49400599826389
89,2014,28,59480.7028443287,78519.11516203704,33.01005721064815
90,2014,29,59246.25616362489,78614.3538510101,33.54908537715221
91,2014,30,57828.18675820707,78445.68623737374,37.09505500852273
92,2014,31,56914.29730158731,79520.15277777778,41.96510341765873
93,2015,1,58199.19357323232,83492.2995580808,44.55645026278409
94,2015,2,60619.31684159301,83920.06920770202,39.71504515546086
95,2015,3,60820.264986619666,83746.57777251683,38.96269829252596
96,2015,4,59760.888019781145,83684.67100694444,41.61235853193392
97,2015,5,59302.46165509259,82571.56983901515,40.74659155750211
98,2015,6,60349.0190162037,83140.27606797138,39.197072501578276
99,2015,7,60777.20553161826,82815.01302083333,37.4814378632681
100,2015,8,60055.025564236115,82487.84396043772,38.59213505050505
101,2015,9,61497.05144228746,82577.45904356061,35.45057537799874
102,2015,10,61570.93868002946,82831.57436342593,35.95400668481692
103,2015,11,60633.35519202441,82262.43142361111,36.819338483533244
104,2015,12,60218.08151409933,82318.22774621211,38.0186206523569
105,2015,13,60647.546927083335,82384.74723800505,37.07952700994318
106,2015,14,60411.77667675013,82666.99660669192,38.00896531793631
107,2015,15,59911.17869002525,82377.35045770202,38.61038789562289
108,2015,16,61235.76753982534,82859.48119212962,36.35512178051347
109,2015,17,60523.255483480636,83208.01930765994,38.570670355639734
110,2015,18,59085.68330729167,82921.12915614477,42.002284405513464
111,2015,19,58384.18674321338,82418.68849957913,43.21720491345749
112,2015,20,58937.91216487795,82818.04324494948,42.19362384390783
113,2015,21,59482.38034590698,83246.37592066498,41.47632207517887
114,2015,22,59265.50942155935,82678.90135732322,40.92328309080387
115,2015,23,60882.66835648149,83360.98734743266,37.93233769123527
116,2015,24,60570.96756844487,83763.5964067761,39.265838576494104
117,2015,25,58397.45356323653,83274.83506944444,43.43623327546297
118,2015,26,58654.711458070284,83233.57841435185,43.43688673032407
119,2015,27,59895.69538773149,83902.97095959596,42.29319151067971
120,2015,28,59579.28413589016,83191.82941393097,41.50651392255892
121,2015,29,59341.02948433196,82586.31502525252,41.02046574896694
122,2015,30,60549.817049471996,83835.00278351699,39.70729697926232
123,2015,31,59877.46478941197,84091.01050685426,41.40321100018038
124,2016,1,60893.37959543351,84319.39293981482,39.865017710963805
125,2016,2,60872.64317392677,83716.25752314815,38.93724588068182
126,2016,3,59583.570052083334,82397.27277988216,39.638363478535354
127,2016,4,61056.19781670876,82766.92737268518,36.53970994581229
128,2016,5,61542.91499228395,83463.92508417509,36.861193095275674
129,2016,6,60443.15668928871,83135.72587857745,38.8568322337963
130,2016,7,61303.54550189394,83594.15627630471,37.83153619528619
131,2016,8,61685.08400936448,83625.71469907407,37.73544493949916
132,2016,9,60893.142490004204,82624.41898148149,37.28359228219696
133,2016,10,60180.73304135101,82904.82233796296,39.44945512152778
134,2016,11,62378.32657565236,83632.19120896464,35.28097422602764
135,2016,12,62817.24472274832,83558.66840277778,34.01264529829545
136,2016,13,61465.01782407407,83542.57289036195,37.113760521885524
137,2016,14,61294.3764246633,82812.85485058922,36.34314777146464
138,2016,15,61444.55536177749,83058.92028093434,36.786657700968014
139,2016,16,61067.75294086701,82428.72950862795,36.33605601089015
140,2016,17,59940.17511574074,82615.50318287038,39.16082752209596
141,2016,18,61649.5202020202,83473.22172243266,36.694226054819026
142,2016,19,62613.779669086696,83891.65335648149,35.201559926872896
143,2016,20,61703.445244107745,84080.51501999158,37.7820917376894
144,2016,21,62202.068037668345,83759.13257575758,35.86113781723485
145,2016,22,63400.95568444866,84215.77441077441,34.23313265914352
146,2016,23,62987.560698127105,83504.11668771044,33.744215891992845
147,2016,24,61833.83852325337,83204.06357849327,35.71815874368687
148,2016,25,62813.07638099747,83830.22106481482,34.95188988189184
149,2016,26,62951.45964856903,83883.56239478114,34.557713218118685
150,2016,27,61841.895835963805,83483.59669612795,36.37205271201599
