,year,month,day,기온(°C),풍속(m/s),습도(%)
3319,2020,2,2,4.62956937799043,1.7739712918660286,58.49980861244019
3320,2020,2,3,3.682870813397129,3.1905263157894734,48.46794258373206
3321,2020,2,4,2.6055608820709493,2.2813039309683605,46.7698945349952
3322,2020,2,5,-2.1758157389635313,3.724710424710425,36.6529242569511
3323,2020,2,6,-1.7752153110047846,1.962488038277512,41.0622009569378
3324,2020,2,7,2.0663157894736845,2.451578947368421,44.22105263157895
3325,2020,2,8,3.5652631578947367,3.6607655502392347,48.899521531100476
3326,2020,2,9,2.7313875598086126,2.4801913875598087,47.77511961722488
3327,2020,2,10,7.137607655502393,2.0807655502392346,51.44497607655502
3328,2020,2,11,8.371029836381135,1.6395953757225434,49.01828681424447
3329,2020,2,12,8.449282296650718,1.5308133971291866,91.39808612440191
3330,2020,2,13,10.234426229508196,1.9492767598842817,75.6268081002893
3331,2020,2,14,10.85072324011572,1.4198067632850242,65.52941176470588
3332,2020,2,15,12.035598086124402,2.047655502392345,66.48803827751196
3333,2020,2,16,2.148803827751196,4.849085659287777,72.09856459330143
3334,2020,2,17,-2.0156580211335258,4.800865384615384,63.36215177713737
3335,2020,2,18,0.6523444976076556,3.032153110047847,47.45645933014354
3336,2020,2,19,5.07377990430622,1.774354066985646,51.041148325358854
3337,2020,2,20,8.09893924783028,1.5847342995169083,53.63355834136934
3338,2020,2,21,9.511015325670497,1.9692528735632184,56.34099616858238
3339,2020,2,22,7.905358851674642,4.727751196172249,48.880382775119614
3340,2020,2,23,5.974258373205742,2.3883253588516746,41.882296650717706
3341,2020,2,24,9.966794258373206,2.034354066985646,46.21244019138756
3342,2020,2,25,8.315406698564594,2.373684210526316,94.29665071770334
3343,2020,2,26,8.910047846889952,2.0630622009569377,74.56937799043062
3344,2020,2,27,7.309856459330144,1.959043062200957,61.20191387559809
3345,2020,2,28,5.298178331735379,1.5932885906040268,82.65963566634707
3346,2020,2,29,8.800382775119617,1.7338755980861245,72.76746411483253
3347,2020,3,1,8.815023923444977,1.8444976076555024,73.56459330143541
3348,2020,3,2,6.846005774783445,3.44995187680462,46.672762271414825
3349,2020,3,3,8.55699233716475,2.2372605363984674,61.03735632183908
3350,2020,3,4,6.126411483253589,4.8775119617224885,46.477511961722485
3351,2020,3,5,4.871866028708134,2.9069856459330143,42.71866028708134
3352,2020,3,6,7.226985645933015,1.7842105263157895,41.27081339712919
3353,2020,3,7,7.468421052631579,1.3880382775119617,65.74066985645933
3354,2020,3,8,11.07598086124402,1.859425837320574,57.08708133971292
3355,2020,3,9,11.068325358851673,1.6500478468899522,63.69952153110048
3356,2020,3,10,8.006124401913874,3.3365736284889316,88.55885167464115
3357,2020,3,11,7.022009569377991,4.045933014354067,37.991387559808615
3358,2020,3,12,10.046934865900383,2.5298850574712644,39.24224137931034
3359,2020,3,13,9.847655502392344,3.074641148325359,44.665263157894735
3360,2020,3,14,6.8886124401913875,3.7555023923444977,34.81435406698564
3361,2020,3,15,8.177320574162678,4.861435406698565,41.93492822966507
3362,2020,3,16,6.847942583732058,2.549616858237548,40.79904306220096
3363,2020,3,17,10.169856459330143,3.3723444976076555,59.348325358851675
3364,2020,3,18,12.95177033492823,2.2999043062200957,45.164265129682995
3365,2020,3,19,11.877233429394813,6.027846889952153,48.85071770334928
3366,2020,3,20,12.214545454545455,3.429760765550239,32.86794258373206
3367,2020,3,21,16.1936660268714,2.8861244019138756,49.82105263157895
3368,2020,3,22,14.919521531100479,3.145837320574163,47.70095693779904
3369,2020,3,23,13.373467432950191,3.0909003831417627,38.235632183908045
3370,2020,3,24,13.120956937799043,2.059712918660287,45.252631578947366
3371,2020,3,25,15.294832535885169,2.3879425837320576,45.720574162679426
3372,2020,3,26,14.73358925143954,1.9526315789473685,71.0755980861244
3373,2020,3,27,12.6711004784689,3.3024880382775117,83.72535885167464
3374,2020,3,28,8.948612440191386,2.8061244019138756,42.86411483253588
3375,2020,3,29,10.606985645933014,2.24066985645933,51.37703349282297
3376,2020,3,30,13.302583732057418,2.0131100478468897,48.731100478468896
3377,2020,3,31,14.667464114832535,2.025574712643678,46.38373205741627
3378,2020,4,1,13.476459330143541,3.5077511961722485,48.50200956937799
3379,2020,4,2,12.762200956937798,2.436555023923445,40.932057416267945
3380,2020,4,3,14.282583732057416,2.82622009569378,33.754066985645935
3381,2020,4,4,12.560382775119617,4.074736842105263,39.85071770334928
3382,2020,4,5,10.543173076923077,2.9709335899903757,28.775480769230768
3383,2020,4,6,12.606028708133971,2.4319617224880385,36.02583732057416
3384,2020,4,7,14.939234449760766,2.9538755980861247,40.19138755980861
3385,2020,4,8,12.993684210526315,3.812822966507177,29.820095693779905
3386,2020,4,9,12.102775119617224,3.006315789473684,37.644976076555025
3387,2020,4,10,11.804210526315789,2.2291866028708136,50.275598086124404
3388,2020,4,11,11.090526315789473,1.985645933014354,59.6267942583732
3389,2020,4,12,10.136076555023925,3.0642105263157893,68.3645933014354
3390,2020,4,13,12.02822966507177,3.84488038277512,39.70334928229665
3391,2020,4,14,16.64401913875598,2.6676612127045236,32.044976076555024
3392,2020,4,15,15.967272727272727,2.157511961722488,35.360765550239236
3393,2020,4,16,16.487272727272728,3.040095693779904,46.78468899521531
3394,2020,4,17,12.632727272727273,2.435980861244019,84.29952153110048
3395,2020,4,18,14.670622009569378,2.96,62.15885167464115
3396,2020,4,19,12.152153110047847,2.732248803827751,78.98947368421052
3397,2020,4,20,13.45952153110048,3.3378352490421452,70.84306220095694
3398,2020,4,21,11.798467432950192,5.331513409961686,35.97672413793103
3399,2020,4,22,9.60755980861244,5.259712918660287,36.302392344497605
3400,2020,4,23,11.276937799043061,4.561244019138756,38.32057416267943
3401,2020,4,24,13.29866028708134,4.423923444976077,34.55215311004785
3402,2020,4,25,17.799808429118773,5.140421455938697,43.577586206896555
3403,2020,4,26,14.960956937799043,3.136555023923445,40.070813397129186
3404,2020,4,27,14.97155172413793,2.968007662835249,40.79406130268199
3405,2020,4,28,16.88256704980843,3.2469348659003834,35.54501915708812
3406,2020,4,29,19.094545454545454,2.6192344497607656,35.65741626794259
3407,2020,4,30,20.34641148325359,3.343540669856459,48.562679425837324
3408,2020,5,1,23.53055555555556,3.5692822966507176,60.54832535885168
3409,2020,5,2,22.191578947368424,2.37377990430622,67.61263157894737
3410,2020,5,3,19.300575263662513,2.0341040462427746,82.4065196548418
3411,2020,5,4,22.270757430488974,2.816441005802708,66.43827751196173
3412,2020,5,5,17.356937799043063,2.0523444976076552,75.7444976076555
3413,2020,5,6,21.394354066985645,2.6831578947368424,54.35980861244019
3414,2020,5,7,20.60555023923445,3.1752153110047847,35.59808612440192
3415,2020,5,8,20.354162679425837,2.7295693779904306,46.07368421052632
3416,2020,5,9,16.484784688995212,2.7597129186602873,94.02009569377991
3417,2020,5,10,17.038660287081342,2.9368421052631577,79.73684210526316
3418,2020,5,11,21.30688995215311,3.221911196911197,48.33684210526316
3419,2020,5,12,19.12488038277512,4.02158203125,52.7866028708134
3420,2020,5,13,19.904114832535885,3.441482194417709,37.67464114832536
3421,2020,5,14,21.952822966507178,2.112248803827751,34.71674641148326
3422,2020,5,15,15.912248803827751,2.4627751196172247,91.85167464114832
3423,2020,5,16,19.109665071770333,1.6954066985645933,82.29377990430622
3424,2020,5,17,21.400765550239235,2.054066985645933,72.26028708133971
3425,2020,5,18,20.132535885167464,2.955885167464115,78.8488038277512
3426,2020,5,19,14.859043062200957,3.7182775119617224,74.15789473684211
3427,2020,5,20,16.391770334928232,2.440382775119617,61.4066985645933
3428,2020,5,21,18.179808612440194,2.109856459330144,62.530143540669854
3429,2020,5,22,19.279904306220097,2.544306220095694,63.705263157894734
3430,2020,5,23,21.05511961722488,2.2402898550724637,60.948325358851676
3431,2020,5,24,20.57578947368421,2.7655800575263663,73.58086124401913
3432,2020,5,25,19.754414587332054,1.872195589645254,68.9424736337488
3433,2020,5,26,20.423563218390804,1.90513068731849,65.1676245210728
3434,2020,5,27,21.31157894736842,2.4688038277511963,50.31578947368421
3435,2020,5,28,21.580287081339716,2.283349282296651,52.235406698564596
3436,2020,5,29,22.669090909090908,1.9630622009569378,53.01531100478469
3437,2020,5,30,23.579043062200956,1.972822966507177,49.87464114832536
3438,2020,5,31,22.274066985645934,2.0604784688995212,62.17129186602871
3439,2020,6,1,23.274736842105263,3.4445933014354067,52.78181818181818
3440,2020,6,2,21.99712918660287,2.184401913875598,49.32535885167464
3441,2020,6,3,23.723444976076554,2.13377990430622,67.2688995215311
3442,2020,6,4,26.389282296650716,2.6217224880382775,61.110047846889955
3443,2020,6,5,25.535119617224883,2.101052631578947,63.810526315789474
3444,2020,6,6,24.445645933014355,2.402488038277512,64.27081339712919
3445,2020,6,7,24.73406698564593,2.101913875598086,57.85454545454545
3446,2020,6,8,27.604593301435408,2.081818181818182,50.72822966507177
3447,2020,6,9,29.159904306220096,2.2607655502392343,48.23157894736842
3448,2020,6,10,28.061435406698564,2.2658373205741626,57.647846889952156
3449,2020,6,11,26.357703349282296,1.8407655502392344,73.60478468899521
3450,2020,6,12,25.05444976076555,1.642870813397129,78.25191570881226
3451,2020,6,13,25.588612440191387,1.73866028708134,74.4421052631579
3452,2020,6,14,25.0444976076555,2.8373205741626792,78.40861244019139
3453,2020,6,15,25.79866028708134,2.6073684210526316,55.470813397129184
3454,2020,6,16,25.73141762452107,2.1478927203065137,55.41570881226053
3455,2020,6,17,24.404976076555023,1.8482296650717704,62.01531100478469
3456,2020,6,18,20.317511961722488,1.8329817833173538,82.96267942583732
3457,2020,6,19,24.01866028708134,2.1339712918660285,66.58755980861244
3458,2020,6,20,24.655885167464117,1.9907177033492824,67.63157894736842
3459,2020,6,21,25.92066985645933,2.1794258373205744,62.75980861244019
3460,2020,6,22,27.57799043062201,1.919043062200957,56.96937799043062
3461,2020,6,23,27.20401913875598,2.1289952153110048,58.608612440191386
3462,2020,6,24,22.257581573896356,2.603646833013436,84.06621880998081
3463,2020,6,25,22.299226305609285,1.7539651837524177,90.09381044487428
3464,2020,6,26,24.684452975047986,2.6394433781190023,69.40595009596929
3465,2020,6,27,25.698086124401915,1.4352153110047847,68.79617224880383
3466,2020,6,28,26.216937799043063,2.276842105263158,66.59712918660287
3467,2020,6,29,22.91913875598086,2.307846889952153,82.96650717703349
3468,2020,6,30,21.62842105263158,3.7470813397129183,82.72153110047847
3469,2020,7,1,22.486847195357836,2.0607655502392346,72.0267942583732
3470,2020,7,2,24.774081237911027,1.7040191387559809,66.56172248803827
3471,2020,7,3,22.367372473532242,2.1541626794258373,74.47464114832536
