,year,month,기온(°C),풍속(m/s),습도(%)
54,2015,7,25.916878076486178,2.5662921702906556,72.44672053531974
55,2015,8,27.223443466187003,2.1740258101157983,69.83688012618296
56,2015,9,22.954524104638267,2.2224893179816694,63.42678711192278
57,2015,10,17.892316426949282,2.326275115919629,57.57085449326562
58,2015,11,11.609206533669056,2.1285049748029463,73.57974041907467
59,2015,12,5.312449673855373,2.2932351013017827,63.16903697683868
60,2016,1,0.8951058118484301,2.676204602941636,54.91374520026223
61,2016,2,3.7002936955578547,2.9570160213618157,51.4820731096645
62,2016,3,9.681793206793207,2.66218363835445,50.61996940272878
63,2016,4,16.36312445576805,2.732721761841808,55.06368358228216
64,2016,5,21.33674482500234,2.710926521562627,53.43224255292575
65,2016,6,24.202312754015868,2.330811665268727,66.36907565736409
66,2016,7,27.0487654899023,2.2458870539755877,75.15118464179804
67,2016,8,28.897796229242104,2.3208788465139505,64.90559265963422
68,2016,9,23.3780139327872,1.9097884708541901,73.70089369253105
69,2016,10,17.69680397727273,2.050023163161308,69.91769192761411
70,2016,11,10.01627892133397,2.2225761154018,59.76751236636349
71,2016,12,4.951816721250696,2.3987023820557978,59.91649468610974
72,2017,1,2.064597615959484,2.609965710049118,54.27039382239382
73,2017,2,3.699042407660739,3.0213790038628514,48.52583347580783
74,2017,3,8.84105168900142,2.6575040908950567,47.42117450907744
75,2017,4,16.58463011425289,2.9921579266541127,50.36264998723513
76,2017,5,21.75468103501513,2.71777729743083,49.84205163043478
77,2017,6,24.357181148090238,2.4728319826430987,56.708085840199274
78,2017,7,27.934130900288615,2.185610528276119,76.69318224153989
79,2017,8,27.29754430458046,2.2000556999628667,72.25422790136443
80,2017,9,23.11844062170874,2.130051085568327,64.6031247007756
81,2017,10,17.59172074911923,2.163826629981142,65.23057187017001
82,2017,11,9.322188168438528,2.423494110511699,53.17184906142255
83,2017,12,1.7842802327020673,2.613898944893097,52.206843800322055
84,2018,1,-0.2627113405248354,2.5772110839949334,52.57691832256868
85,2018,2,2.1272898347418483,2.825696297817012,43.62822837204529
86,2018,3,10.397642806388829,2.8212165209601188,58.86676760498099
87,2018,4,15.869466696454218,2.961308041131762,54.23679992336676
88,2018,5,20.05508710155671,2.674341412012645,63.26321315740569
89,2018,6,24.386677736620257,2.321339807686164,62.7378261841643
90,2018,7,28.792965197215775,2.3051431223889836,69.05650154798762
91,2018,8,29.178331685004327,2.509174482310335,68.22347777709093
92,2018,9,22.536851012197456,2.2016987179487177,68.36694709231655
93,2018,10,15.796386546835912,2.3425425982620527,60.361636812847436
94,2018,11,10.729381344570005,1.7511784619315278,59.58854519864372
95,2018,12,3.083784618234586,2.376350265727351,53.499262095155764
96,2019,1,2.514748323702994,2.5524387982195846,47.734129439425814
97,2019,2,4.484932818216007,2.4909140667761354,50.04655856595512
98,2019,3,9.989407512665265,2.8480519079252278,50.84575987087162
