,斥档,矫焙备,Unnamed: 2,拌距备盒,绊按荐,荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
101,202103,堡林堡开矫,悼备,老馆侩,"11,538 ","27,822,115 ","3,441,142,260 ",123.7 
115,202103,堡林堡开矫,辑备,魂诀侩,684 ,"25,309,265 ","2,507,769,261 ",99.1 
116,202103,堡林堡开矫,辑备,缴 具,766 ,"1,663,974 ","116,320,204 ",69.9 
117,202103,堡林堡开矫,辑备,老馆侩,"19,628 ","59,373,151 ","7,496,586,814 ",126.3 
118,202103,堡林堡开矫,辑备,林琶侩,"76,467 ","34,996,462 ","3,437,992,677 ",98.2 
119,202103,堡林堡开矫,辑备,钦拌,"107,916 ","124,617,604 ","13,899,468,220 ",111.5 
111,202103,堡林堡开矫,合备,钦拌,"171,957 ","180,193,744 ","18,703,666,293 ",103.8 
100,202103,堡林堡开矫,悼备,缴 具,937 ,"1,179,030 ","74,794,324 ",63.4 
109,202103,堡林堡开矫,合备,老馆侩,"27,527 ","55,191,360 ","6,815,529,327 ",123.5 
98,202103,堡林堡开矫,悼备,丑荤侩,372 ,"90,084 ","4,578,884 ",50.8 
81,202103,堡林堡开矫,堡魂备,背腊侩,169 ,"4,611,191 ","496,782,022 ",107.7 
82,202103,堡林堡开矫,堡魂备,丑荤侩,"8,169 ","4,094,980 ","194,811,274 ",47.6 
83,202103,堡林堡开矫,堡魂备,魂诀侩,"3,233 ","168,894,151 ","17,658,558,029 ",104.6 
84,202103,堡林堡开矫,堡魂备,缴 具,"1,303 ","2,334,485 ","141,808,786 ",60.7 
85,202103,堡林堡开矫,堡魂备,老馆侩,"23,750 ","58,780,285 ","7,259,325,162 ",123.5 
86,202103,堡林堡开矫,堡魂备,林琶侩,"85,253 ","46,506,932 ","4,534,987,961 ",97.5 
87,202103,堡林堡开矫,堡魂备,钦拌,"134,764 ","287,378,423 ","30,528,775,739 ",106.2 
88,202103,堡林堡开矫,巢备,啊肺殿,"8,674 ","1,041,381 ","112,306,647 ",107.8 
89,202103,堡林堡开矫,巢备,背腊侩,104 ,"2,715,859 ","294,060,025 ",108.3 
80,202103,堡林堡开矫,堡魂备,啊肺殿,"12,887 ","2,156,399 ","242,502,505 ",112.5 
90,202103,堡林堡开矫,巢备,丑荤侩,"3,513 ","908,734 ","45,568,942 ",50.1 
91,202103,堡林堡开矫,巢备,魂诀侩,471 ,"2,763,893 ","372,720,480 ",134.9 
92,202103,堡林堡开矫,巢备,缴 具,"1,092 ","1,833,108 ","103,004,453 ",56.2 
93,202103,堡林堡开矫,巢备,老馆侩,"11,743 ","22,941,364 ","2,842,319,739 ",123.9 
94,202103,堡林堡开矫,巢备,林琶侩,"56,800 ","24,803,096 ","2,509,158,215 ",101.2 
95,202103,堡林堡开矫,巢备,钦拌,"82,397 ","57,007,435 ","6,279,138,501 ",110.1 
96,202103,堡林堡开矫,悼备,啊肺殿,"5,528 ","794,176 ","82,618,878 ",104 
97,202103,堡林堡开矫,悼备,背腊侩,56 ,"3,013,133 ","276,621,946 ",91.8 
99,202103,堡林堡开矫,悼备,魂诀侩,435 ,"2,465,142 ","288,357,964 ",117 
147,202104,堡林堡开矫,合备,魂诀侩,"1,603 ","58,113,669 ","5,497,480,767 ",94.6 
146,202104,堡林堡开矫,合备,丑荤侩,"2,105 ","1,236,151 ","61,264,854 ",49.6 
142,202104,堡林堡开矫,悼备,林琶侩,"42,327 ","13,266,615 ","1,358,328,706 ",102.4 
144,202104,堡林堡开矫,合备,啊肺殿,"12,396 ","1,543,827 ","171,908,013 ",111.4 
143,202104,堡林堡开矫,悼备,钦拌,"61,148 ","47,069,262 ","5,063,270,779 ",107.6 
148,202104,堡林堡开矫,合备,缴 具,"1,551 ","2,039,693 ","116,651,926 ",57.2 
145,202104,堡林堡开矫,合备,背腊侩,192 ,"10,179,113 ","867,348,634 ",85.2 
149,202104,堡林堡开矫,合备,老馆侩,"27,563 ","54,044,978 ","6,072,225,355 ",112.4 
154,202104,堡林堡开矫,辑备,丑荤侩,"1,074 ","408,796 ","21,099,668 ",51.6 
151,202104,堡林堡开矫,合备,钦拌,"171,327 ","177,679,067 ","17,750,333,193 ",99.9 
152,202104,堡林堡开矫,辑备,啊肺殿,"8,664 ","984,760 ","113,278,297 ",115 
153,202104,堡林堡开矫,辑备,背腊侩,106 ,"1,717,874 ","163,156,847 ",95 
155,202104,堡林堡开矫,辑备,魂诀侩,683 ,"25,412,367 ","2,487,765,471 ",97.9 
156,202104,堡林堡开矫,辑备,缴 具,763 ,"1,397,778 ","82,210,782 ",58.8 
157,202104,堡林堡开矫,辑备,老馆侩,"19,648 ","57,874,115 ","6,505,218,648 ",112.4 
158,202104,堡林堡开矫,辑备,林琶侩,"76,547 ","36,209,607 ","3,654,028,474 ",100.9 
141,202104,堡林堡开矫,悼备,老馆侩,"11,515 ","26,437,201 ","3,045,771,944 ",115.2 
150,202104,堡林堡开矫,合备,林琶侩,"125,917 ","50,521,636 ","4,963,453,644 ",98.2 
140,202104,堡林堡开矫,悼备,缴 具,935 ,"868,589 ","45,361,634 ",52.2 
159,202104,堡林堡开矫,辑备,钦拌,"107,485 ","124,005,297 ","13,026,758,187 ",105.1 
138,202104,堡林堡开矫,悼备,丑荤侩,350 ,"80,881 ","4,265,943 ",52.7 
120,202104,堡林堡开矫,堡魂备,啊肺殿,"12,900 ","2,199,494 ","246,199,476 ",111.9 
121,202104,堡林堡开矫,堡魂备,背腊侩,169 ,"4,301,034 ","402,476,978 ",93.6 
122,202104,堡林堡开矫,堡魂备,丑荤侩,"6,184 ","3,082,972 ","154,235,173 ",50 
123,202104,堡林堡开矫,堡魂备,魂诀侩,"3,237 ","172,665,120 ","17,080,712,321 ",98.9 
124,202104,堡林堡开矫,堡魂备,缴 具,"1,299 ","1,829,896 ","91,440,619 ",50 
125,202104,堡林堡开矫,堡魂备,老馆侩,"23,846 ","57,849,434 ","6,416,192,637 ",110.9 
126,202104,堡林堡开矫,堡魂备,林琶侩,"85,524 ","48,661,703 ","4,881,253,447 ",100.3 
127,202104,堡林堡开矫,堡魂备,钦拌,"133,159 ","290,589,653 ","29,272,510,651 ",100.7 
128,202104,堡林堡开矫,巢备,啊肺殿,"8,688 ","1,054,294 ","117,854,032 ",111.8 
139,202104,堡林堡开矫,悼备,魂诀侩,434 ,"2,582,508 ","283,901,051 ",109.9 
130,202104,堡林堡开矫,巢备,丑荤侩,"2,389 ","714,630 ","37,634,648 ",52.7 
131,202104,堡林堡开矫,巢备,魂诀侩,470 ,"2,809,576 ","348,585,840 ",124.1 
132,202104,堡林堡开矫,巢备,缴 具,"1,083 ","1,165,448 ","57,239,914 ",49.1 
133,202104,堡林堡开矫,巢备,老馆侩,"11,769 ","22,505,760 ","2,607,761,758 ",115.9 
134,202104,堡林堡开矫,巢备,林琶侩,"56,791 ","25,924,421 ","2,716,427,485 ",104.8 
135,202104,堡林堡开矫,巢备,钦拌,"81,294 ","56,708,946 ","6,125,635,439 ",108 
136,202104,堡林堡开矫,悼备,啊肺殿,"5,531 ","828,588 ","88,163,258 ",106.4 
137,202104,堡林堡开矫,悼备,背腊侩,56 ,"3,004,880 ","237,478,243 ",79 
129,202104,堡林堡开矫,巢备,背腊侩,104 ,"2,534,817 ","240,131,762 ",94.7 
187,202105,堡林堡开矫,合备,魂诀侩,"1,599 ","57,361,785 ","5,339,453,933 ",93.1 
186,202105,堡林堡开矫,合备,丑荤侩,"2,103 ","1,242,594 ","59,471,471 ",47.9 
185,202105,堡林堡开矫,合备,背腊侩,192 ,"9,527,476 ","801,840,884 ",84.2 
181,202105,堡林堡开矫,悼备,老馆侩,"11,491 ","25,514,142 ","2,971,230,778 ",116.5 
183,202105,堡林堡开矫,悼备,钦拌,"61,078 ","44,892,258 ","4,856,736,468 ",108.2 
182,202105,堡林堡开矫,悼备,林琶侩,"42,284 ","12,784,715 ","1,274,362,790 ",99.7 
188,202105,堡林堡开矫,合备,缴 具,"1,545 ","1,239,574 ","77,393,477 ",62.4 
184,202105,堡林堡开矫,合备,啊肺殿,"12,377 ","1,394,782 ","161,102,563 ",115.5 
189,202105,堡林堡开矫,合备,老馆侩,"27,591 ","51,677,151 ","5,903,116,827 ",114.2 
193,202105,堡林堡开矫,辑备,背腊侩,106 ,"1,299,715 ","123,655,491 ",95.1 
191,202105,堡林堡开矫,合备,钦拌,"171,281 ","170,661,652 ","16,940,222,433 ",99.3 
192,202105,堡林堡开矫,辑备,啊肺殿,"8,661 ","893,265 ","106,413,762 ",119.1 
194,202105,堡林堡开矫,辑备,丑荤侩,"1,073 ","337,122 ","18,872,844 ",56 
195,202105,堡林堡开矫,辑备,魂诀侩,686 ,"23,595,532 ","2,435,332,337 ",103.2 
196,202105,堡林堡开矫,辑备,缴 具,762 ,"891,421 ","56,454,809 ",63.3 
197,202105,堡林堡开矫,辑备,老馆侩,"19,668 ","54,916,498 ","6,273,073,046 ",114.2 
198,202105,堡林堡开矫,辑备,林琶侩,"76,644 ","33,937,832 ","3,283,531,324 ",96.8 
180,202105,堡林堡开矫,悼备,缴 具,930 ,"580,573 ","32,143,571 ",55.4 
190,202105,堡林堡开矫,合备,林琶侩,"125,874 ","48,218,290 ","4,597,843,278 ",95.4 
199,202105,堡林堡开矫,辑备,钦拌,"107,600 ","115,871,385 ","12,297,333,613 ",106.1 
179,202105,堡林堡开矫,悼备,魂诀侩,429 ,"2,587,266 ","281,001,794 ",108.6 
177,202105,堡林堡开矫,悼备,背腊侩,56 ,"2,561,429 ","208,844,656 ",81.5 
178,202105,堡林堡开矫,悼备,丑荤侩,354 ,"71,296 ","3,917,767 ",55 
160,202105,堡林堡开矫,堡魂备,啊肺殿,"12,921 ","1,998,133 ","232,674,398 ",116.4 
161,202105,堡林堡开矫,堡魂备,背腊侩,169 ,"3,165,415 ","308,655,732 ",97.5 
162,202105,堡林堡开矫,堡魂备,丑荤侩,"6,205 ","2,391,526 ","128,008,739 ",53.5 
163,202105,堡林堡开矫,堡魂备,魂诀侩,"3,248 ","166,321,005 ","16,486,762,415 ",99.1 
165,202105,堡林堡开矫,堡魂备,老馆侩,"23,939 ","55,150,173 ","6,213,686,825 ",112.7 
166,202105,堡林堡开矫,堡魂备,林琶侩,"85,672 ","45,756,700 ","4,407,462,993 ",96.3 
167,202105,堡林堡开矫,堡魂备,钦拌,"133,449 ","275,759,758 ","27,831,102,387 ",100.9 
164,202105,堡林堡开矫,堡魂备,缴 具,"1,295 ","976,806 ","53,851,285 ",55.1 
169,202105,堡林堡开矫,巢备,背腊侩,104 ,"1,857,581 ","186,880,872 ",100.6 
168,202105,堡林堡开矫,巢备,啊肺殿,"8,697 ","979,345 ","111,556,449 ",113.9 
175,202105,堡林堡开矫,巢备,钦拌,"81,273 ","52,565,452 ","5,665,358,998 ",107.8 
174,202105,堡林堡开矫,巢备,林琶侩,"56,757 ","24,469,550 ","2,449,743,540 ",100.1 
173,202105,堡林堡开矫,巢备,老馆侩,"11,769 ","21,374,413 ","2,518,755,590 ",117.8 
176,202105,堡林堡开矫,悼备,啊肺殿,"5,534 ","792,837 ","85,235,112 ",107.5 
171,202105,堡林堡开矫,巢备,魂诀侩,471 ,"2,655,736 ","336,345,538 ",126.6 
170,202105,堡林堡开矫,巢备,丑荤侩,"2,399 ","695,899 ","36,030,250 ",51.8 
172,202105,堡林堡开矫,巢备,缴 具,"1,076 ","532,928 ","26,046,759 ",48.9 
227,202106,堡林堡开矫,合备,魂诀侩,"1,604 ","62,564,978 ","7,255,952,292 ",116 
221,202106,堡林堡开矫,悼备,老馆侩,"11,493 ","28,632,980 ","3,863,701,158 ",134.9 
222,202106,堡林堡开矫,悼备,林琶侩,"42,369 ","13,328,381 ","1,344,295,777 ",100.9 
223,202106,堡林堡开矫,悼备,钦拌,"61,166 ","48,688,228 ","5,929,750,962 ",121.8 
224,202106,堡林堡开矫,合备,啊肺殿,"12,364 ","1,303,392 ","155,510,767 ",119.3 
225,202106,堡林堡开矫,合备,背腊侩,193 ,"11,245,358 ","1,216,789,648 ",108.2 
226,202106,堡林堡开矫,合备,丑荤侩,"2,110 ","1,247,678 ","58,462,671 ",46.9 
229,202106,堡林堡开矫,合备,老馆侩,"27,638 ","58,038,147 ","7,516,674,870 ",129.5 
220,202106,堡林堡开矫,悼备,缴 具,920 ,"538,684 ","28,683,494 ",53.2 
231,202106,堡林堡开矫,合备,钦拌,"171,313 ","185,754,091 ","21,175,980,116 ",114 
232,202106,堡林堡开矫,辑备,啊肺殿,"8,683 ","811,416 ","101,283,016 ",124.8 
233,202106,堡林堡开矫,辑备,背腊侩,106 ,"1,479,619 ","175,432,836 ",118.6 
234,202106,堡林堡开矫,辑备,丑荤侩,"1,084 ","346,184 ","18,687,817 ",54 
235,202106,堡林堡开矫,辑备,魂诀侩,685 ,"26,498,907 ","3,224,055,216 ",121.7 
236,202106,堡林堡开矫,辑备,缴 具,758 ,"1,033,357 ","72,170,170 ",69.8 
237,202106,堡林堡开矫,辑备,老馆侩,"19,717 ","60,939,034 ","7,704,447,415 ",126.4 
238,202106,堡林堡开矫,辑备,林琶侩,"76,627 ","35,205,670 ","3,472,329,780 ",98.6 
230,202106,堡林堡开矫,合备,林琶侩,"125,873 ","50,321,786 ","4,904,489,228 ",97.5 
219,202106,堡林堡开矫,悼备,魂诀侩,427 ,"2,625,124 ","347,394,096 ",132.3 
228,202106,堡林堡开矫,合备,缴 具,"1,531 ","1,032,752 ","68,100,640 ",65.9 
217,202106,堡林堡开矫,悼备,背腊侩,57 ,"2,720,147 ","257,001,651 ",94.5 
200,202106,堡林堡开矫,堡魂备,啊肺殿,"12,928 ","1,895,191 ","225,747,446 ",119.1 
201,202106,堡林堡开矫,堡魂备,背腊侩,169 ,"3,684,248 ","437,388,301 ",118.7 
202,202106,堡林堡开矫,堡魂备,丑荤侩,"6,202 ","2,510,179 ","127,810,740 ",50.9 
203,202106,堡林堡开矫,堡魂备,魂诀侩,"3,252 ","177,151,050 ","21,409,855,275 ",120.9 
204,202106,堡林堡开矫,堡魂备,缴 具,"1,291 ","780,453 ","44,567,441 ",57.1 
205,202106,堡林堡开矫,堡魂备,老馆侩,"23,988 ","61,788,726 ","7,796,667,465 ",126.2 
206,202106,堡林堡开矫,堡魂备,林琶侩,"85,885 ","48,017,851 ","4,751,784,443 ",99 
207,202106,堡林堡开矫,堡魂备,钦拌,"133,715 ","295,827,698 ","34,793,821,111 ",117.6 
208,202106,堡林堡开矫,巢备,啊肺殿,"8,719 ","916,056 ","107,894,097 ",117.8 
218,202106,堡林堡开矫,悼备,丑荤侩,358 ,"69,173 ","3,841,349 ",55.5 
209,202106,堡林堡开矫,巢备,背腊侩,104 ,"2,242,022 ","271,746,297 ",121.2 
210,202106,堡林堡开矫,巢备,丑荤侩,"2,399 ","731,158 ","35,019,585 ",47.9 
211,202106,堡林堡开矫,巢备,魂诀侩,469 ,"2,839,396 ","386,499,390 ",136.1 
212,202106,堡林堡开矫,巢备,缴 具,"1,072 ","323,910 ","17,150,925 ",52.9 
213,202106,堡林堡开矫,巢备,老馆侩,"11,792 ","24,630,986 ","3,338,886,414 ",135.6 
214,202106,堡林堡开矫,巢备,林琶侩,"56,742 ","25,466,870 ","2,607,415,449 ",102.4 
215,202106,堡林堡开矫,巢备,钦拌,"81,297 ","57,150,398 ","6,764,612,157 ",118.4 
216,202106,堡林堡开矫,悼备,啊肺殿,"5,542 ","773,739 ","84,833,437 ",109.6 
268,202107,堡林堡开矫,合备,老馆侩,"27,673 ","66,846,417 ","9,428,677,098 ",141 
267,202107,堡林堡开矫,合备,缴 具,"1,523 ","1,010,607 ","69,124,020 ",68.4 
266,202107,堡林堡开矫,合备,魂诀侩,"1,612 ","68,061,947 ","8,067,346,796 ",118.5 
264,202107,堡林堡开矫,合备,背腊侩,192 ,"13,473,177 ","1,462,173,282 ",108.5 
263,202107,堡林堡开矫,合备,啊肺殿,"12,445 ","1,273,830 ","151,285,381 ",118.8 
262,202107,堡林堡开矫,悼备,钦拌,"61,108 ","56,422,457 ","7,280,954,035 ",129 
269,202107,堡林堡开矫,合备,林琶侩,"125,876 ","58,754,741 ","5,823,345,923 ",99.1 
265,202107,堡林堡开矫,合备,丑荤侩,"2,120 ","1,533,318 ","71,119,669 ",46.4 
270,202107,堡林堡开矫,合备,钦拌,"171,441 ","210,954,037 ","25,073,072,169 ",118.9 
274,202107,堡林堡开矫,辑备,魂诀侩,683 ,"28,955,406 ","3,640,233,998 ",125.7 
272,202107,堡林堡开矫,辑备,背腊侩,106 ,"2,135,316 ","249,181,665 ",116.7 
273,202107,堡林堡开矫,辑备,丑荤侩,"1,083 ","371,953 ","19,753,002 ",53.1 
261,202107,堡林堡开矫,悼备,林琶侩,"42,380 ","15,531,997 ","1,615,122,866 ",104 
275,202107,堡林堡开矫,辑备,缴 具,756 ,"1,111,963 ","80,621,517 ",72.5 
276,202107,堡林堡开矫,辑备,老馆侩,"19,790 ","70,265,342 ","9,973,555,261 ",141.9 
277,202107,堡林堡开矫,辑备,林琶侩,"76,556 ","38,493,779 ","3,840,966,378 ",99.8 
278,202107,堡林堡开矫,辑备,钦拌,"107,655 ","142,110,298 ","17,901,397,077 ",126 
271,202107,堡林堡开矫,辑备,啊肺殿,"8,681 ","776,539 ","97,085,256 ",125 
260,202107,堡林堡开矫,悼备,老馆侩,"11,486 ","33,429,183 ","4,815,853,317 ",144.1 
259,202107,堡林堡开矫,悼备,缴 具,916 ,"503,938 ","29,157,690 ",57.9 
245,202107,堡林堡开矫,堡魂备,林琶侩,"86,074 ","53,007,515 ","5,357,711,010 ",101.1 
239,202107,堡林堡开矫,堡魂备,啊肺殿,"12,977 ","1,830,508 ","219,025,075 ",119.7 
240,202107,堡林堡开矫,堡魂备,背腊侩,169 ,"4,939,928 ","582,141,820 ",117.8 
241,202107,堡林堡开矫,堡魂备,丑荤侩,"6,224 ","2,745,292 ","137,179,163 ",50 
242,202107,堡林堡开矫,堡魂备,魂诀侩,"3,258 ","180,948,376 ","23,053,367,097 ",127.4 
243,202107,堡林堡开矫,堡魂备,缴 具,"1,287 ","744,851 ","44,328,523 ",59.5 
244,202107,堡林堡开矫,堡魂备,老馆侩,"24,072 ","72,031,208 ","10,041,778,342 ",139.4 
258,202107,堡林堡开矫,悼备,魂诀侩,426 ,"2,975,447 ","388,315,553 ",130.5 
246,202107,堡林堡开矫,堡魂备,钦拌,"134,061 ","316,247,678 ","39,435,531,030 ",124.7 
247,202107,堡林堡开矫,巢备,啊肺殿,"8,727 ","899,271 ","105,457,961 ",117.3 
248,202107,堡林堡开矫,巢备,背腊侩,104 ,"2,895,440 ","350,399,232 ",121 
250,202107,堡林堡开矫,巢备,魂诀侩,467 ,"3,014,872 ","424,411,502 ",140.8 
251,202107,堡林堡开矫,巢备,缴 具,"1,065 ","247,402 ","13,579,675 ",54.9 
252,202107,堡林堡开矫,巢备,老馆侩,"11,803 ","28,438,303 ","4,052,901,010 ",142.5 
253,202107,堡林堡开矫,巢备,林琶侩,"56,796 ","28,993,083 ","2,970,041,947 ",102.4 
254,202107,堡林堡开矫,巢备,钦拌,"81,374 ","65,211,147 ","7,952,514,482 ",122 
255,202107,堡林堡开矫,悼备,啊肺殿,"5,485 ","753,821 ","83,119,727 ",110.3 
256,202107,堡林堡开矫,悼备,背腊侩,57 ,"3,149,856 ","345,197,758 ",109.6 
257,202107,堡林堡开矫,悼备,丑荤侩,358 ,"78,215 ","4,187,124 ",53.5 
249,202107,堡林堡开矫,巢备,丑荤侩,"2,412 ","722,776 ","35,723,155 ",49.4 
307,202108,堡林堡开矫,合备,缴 具,"1,499 ","1,009,612 ","69,459,898 ",68.8 
308,202108,堡林堡开矫,合备,老馆侩,"27,728 ","76,264,261 ","10,453,769,557 ",137.1 
306,202108,堡林堡开矫,合备,魂诀侩,"1,611 ","68,916,943 ","8,031,477,795 ",116.5 
309,202108,堡林堡开矫,合备,林琶侩,"125,799 ","74,015,656 ","8,103,136,192 ",109.5 
304,202108,堡林堡开矫,合备,背腊侩,193 ,"12,661,704 ","1,390,577,759 ",109.8 
303,202108,堡林堡开矫,合备,啊肺殿,"12,449 ","1,399,944 ","159,747,139 ",114.1 
302,202108,堡林堡开矫,悼备,钦拌,"61,075 ","64,458,085 ","8,233,152,860 ",127.7 
305,202108,堡林堡开矫,合备,丑荤侩,"2,123 ","2,118,324 ","95,670,432 ",45.2 
310,202108,堡林堡开矫,合备,钦拌,"171,402 ","236,386,444 ","28,303,838,772 ",119.7 
284,202108,堡林堡开矫,堡魂备,老馆侩,"24,108 ","82,532,069 ","11,173,435,924 ",135.4 
312,202108,堡林堡开矫,辑备,背腊侩,105 ,"1,659,459 ","224,630,849 ",135.4 
313,202108,堡林堡开矫,辑备,丑荤侩,"1,091 ","720,982 ","29,191,749 ",40.5 
314,202108,堡林堡开矫,辑备,魂诀侩,682 ,"27,005,181 ","3,327,141,555 ",123.2 
315,202108,堡林堡开矫,辑备,缴 具,754 ,"1,123,528 ","82,184,054 ",73.1 
316,202108,堡林堡开矫,辑备,老馆侩,"19,920 ","80,431,264 ","10,940,942,938 ",136 
317,202108,堡林堡开矫,辑备,林琶侩,"76,539 ","54,264,910 ","6,180,274,956 ",113.9 
318,202108,堡林堡开矫,辑备,钦拌,"107,786 ","166,027,095 ","20,883,932,186 ",125.8 
301,202108,堡林堡开矫,悼备,林琶侩,"42,346 ","19,009,930 ","2,121,925,827 ",111.6 
311,202108,堡林堡开矫,辑备,啊肺殿,"8,695 ","821,771 ","99,566,085 ",121.2 
300,202108,堡林堡开矫,悼备,老馆侩,"11,486 ","37,613,661 ","5,225,649,224 ",138.9 
279,202108,堡林堡开矫,堡魂备,啊肺殿,"12,994 ","1,957,607 ","227,472,124 ",116.2 
298,202108,堡林堡开矫,悼备,魂诀侩,423 ,"3,080,691 ","399,228,339 ",129.6 
299,202108,堡林堡开矫,悼备,缴 具,914 ,"442,804 ","25,305,924 ",57.1 
280,202108,堡林堡开矫,堡魂备,背腊侩,169 ,"4,224,469 ","556,996,104 ",131.8 
281,202108,堡林堡开矫,堡魂备,丑荤侩,"6,247 ","3,763,868 ","176,794,844 ",47 
282,202108,堡林堡开矫,堡魂备,魂诀侩,"3,263 ","165,784,333 ","21,262,832,671 ",128.3 
283,202108,堡林堡开矫,堡魂备,缴 具,"1,284 ","668,104 ","41,423,146 ",62 
286,202108,堡林堡开矫,堡魂备,钦拌,"134,323 ","333,060,019 ","41,996,448,096 ",126.1 
287,202108,堡林堡开矫,巢备,啊肺殿,"8,728 ","970,996 ","109,824,240 ",113.1 
288,202108,堡林堡开矫,巢备,背腊侩,104 ,"2,296,655 ","310,054,518 ",135 
285,202108,堡林堡开矫,堡魂备,林琶侩,"86,258 ","74,129,569 ","8,557,493,283 ",115.4 
290,202108,堡林堡开矫,巢备,魂诀侩,467 ,"3,240,837 ","442,719,015 ",136.6 
291,202108,堡林堡开矫,巢备,缴 具,"1,061 ","217,092 ","12,310,901 ",56.7 
292,202108,堡林堡开矫,巢备,老馆侩,"11,824 ","31,832,186 ","4,412,291,556 ",138.6 
293,202108,堡林堡开矫,巢备,林琶侩,"56,711 ","37,092,512 ","4,226,889,890 ",114 
294,202108,堡林堡开矫,巢备,钦拌,"81,318 ","76,589,439 ","9,558,121,615 ",124.8 
295,202108,堡林堡开矫,悼备,啊肺殿,"5,488 ","801,965 ","86,208,131 ",107.5 
296,202108,堡林堡开矫,悼备,背腊侩,57 ,"3,397,281 ","369,244,753 ",108.7 
289,202108,堡林堡开矫,巢备,丑荤侩,"2,423 ","939,161 ","44,031,495 ",46.9 
297,202108,堡林堡开矫,悼备,丑荤侩,361 ,"111,753 ","5,590,662 ",50 
346,202109,堡林堡开矫,合备,魂诀侩,"1,617 ","64,254,994 ","6,134,601,504 ",95.5 
345,202109,堡林堡开矫,合备,丑荤侩,"2,129 ","1,573,013 ","74,333,798 ",47.3 
344,202109,堡林堡开矫,合备,背腊侩,193 ,"12,281,341 ","1,122,521,760 ",91.4 
340,202109,堡林堡开矫,悼备,老馆侩,"11,501 ","32,382,040 ","3,981,473,616 ",123 
342,202109,堡林堡开矫,悼备,钦拌,"61,158 ","54,922,110 ","6,262,956,891 ",114 
341,202109,堡林堡开矫,悼备,林琶侩,"42,318 ","15,262,755 ","1,547,821,147 ",101.4 
347,202109,堡林堡开矫,合备,缴 具,"1,491 ","862,112 ","60,146,271 ",69.8 
343,202109,堡林堡开矫,合备,啊肺殿,"12,472 ","1,495,703 ","165,875,640 ",110.9 
348,202109,堡林堡开矫,合备,老馆侩,"27,714 ","66,309,339 ","8,092,884,385 ",122 
357,202109,堡林堡开矫,辑备,林琶侩,"76,589 ","44,686,055 ","4,596,453,144 ",102.9 
350,202109,堡林堡开矫,合备,钦拌,"171,530 ","204,793,712 ","21,443,774,515 ",104.7 
351,202109,堡林堡开矫,辑备,啊肺殿,"8,697 ","879,944 ","103,150,538 ",117.2 
352,202109,堡林堡开矫,辑备,背腊侩,105 ,"2,044,289 ","245,351,862 ",120 
353,202109,堡林堡开矫,辑备,丑荤侩,"1,092 ","547,691 ","26,215,667 ",47.9 
354,202109,堡林堡开矫,辑备,魂诀侩,683 ,"24,032,345 ","2,408,281,206 ",100.2 
355,202109,堡林堡开矫,辑备,缴 具,752 ,"979,752 ","71,382,603 ",72.9 
356,202109,堡林堡开矫,辑备,老馆侩,"19,951 ","71,260,680 ","9,001,482,407 ",126.3 
339,202109,堡林堡开矫,悼备,缴 具,910 ,"374,494 ","19,958,247 ",53.3 
349,202109,堡林堡开矫,合备,林琶侩,"125,914 ","58,017,210 ","5,793,411,157 ",99.9 
358,202109,堡林堡开矫,辑备,钦拌,"107,869 ","144,430,756 ","16,452,317,427 ",113.9 
338,202109,堡林堡开矫,悼备,魂诀侩,423 ,"2,804,944 ","312,412,348 ",111.4 
336,202109,堡林堡开矫,悼备,背腊侩,57 ,"3,212,018 ","315,729,863 ",98.3 
319,202109,堡林堡开矫,堡魂备,啊肺殿,"13,009 ","2,062,215 ","234,398,398 ",113.7 
320,202109,堡林堡开矫,堡魂备,背腊侩,169 ,"4,807,941 ","554,099,054 ",115.2 
321,202109,堡林堡开矫,堡魂备,丑荤侩,"6,253 ","3,418,214 ","164,745,759 ",48.2 
322,202109,堡林堡开矫,堡魂备,魂诀侩,"3,270 ","166,632,367 ","17,966,620,079 ",107.8 
323,202109,堡林堡开矫,堡魂备,缴 具,"1,276 ","608,849 ","36,077,668 ",59.3 
324,202109,堡林堡开矫,堡魂备,老馆侩,"24,258 ","72,747,411 ","8,979,604,508 ",123.4 
325,202109,堡林堡开矫,堡魂备,林琶侩,"86,324 ","61,973,742 ","6,535,725,065 ",105.5 
326,202109,堡林堡开矫,堡魂备,钦拌,"134,559 ","312,250,739 ","34,471,270,531 ",110.4 
337,202109,堡林堡开矫,悼备,丑荤侩,361 ,"150,312 ","7,004,362 ",46.6 
328,202109,堡林堡开矫,巢备,背腊侩,104 ,"2,858,871 ","323,596,024 ",113.2 
329,202109,堡林堡开矫,巢备,丑荤侩,"2,426 ","715,448 ","36,902,492 ",51.6 
330,202109,堡林堡开矫,巢备,魂诀侩,468 ,"3,179,912 ","404,787,020 ",127.3 
331,202109,堡林堡开矫,巢备,缴 具,"1,059 ","243,675 ","13,645,390 ",56 
332,202109,堡林堡开矫,巢备,老馆侩,"11,886 ","27,363,291 ","3,307,751,795 ",120.9 
333,202109,堡林堡开矫,巢备,林琶侩,"56,692 ","30,007,440 ","3,182,470,417 ",106.1 
334,202109,堡林堡开矫,巢备,钦拌,"81,366 ","65,360,784 ","7,379,207,788 ",112.9 
335,202109,堡林堡开矫,悼备,啊肺殿,"5,588 ","735,547 ","78,557,308 ",106.8 
