,斥档,矫焙备,Unnamed: 2,拌距备盒,绊按荐,荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
390,202110,堡林堡开矫,合备,钦拌,"171,606 ","184,299,724 ","18,624,634,522 ",101.1 
391,202110,堡林堡开矫,辑备,啊肺殿,"8,718 ","968,059 ","110,790,377 ",114.4 
392,202110,堡林堡开矫,辑备,背腊侩,105 ,"1,683,468 ","176,006,586 ",104.6 
394,202110,堡林堡开矫,辑备,魂诀侩,682 ,"26,469,766 ","2,582,078,275 ",97.5 
395,202110,堡林堡开矫,辑备,缴 具,749 ,"819,833 ","65,154,525 ",79.5 
396,202110,堡林堡开矫,辑备,老馆侩,"19,934 ","62,174,690 ","6,910,117,035 ",111.1 
397,202110,堡林堡开矫,辑备,林琶侩,"76,700 ","36,460,122 ","3,839,191,423 ",105.3 
380,202110,堡林堡开矫,悼备,老馆侩,"11,499 ","28,562,133 ","3,257,599,963 ",114.1 
389,202110,堡林堡开矫,合备,林琶侩,"125,908 ","50,711,380 ","5,195,833,124 ",102.5 
379,202110,堡林堡开矫,悼备,缴 具,907 ,"348,522 ","19,890,104 ",57.1 
398,202110,堡林堡开矫,辑备,钦拌,"107,983 ","129,000,405 ","13,706,179,763 ",106.2 
377,202110,堡林堡开矫,悼备,丑荤侩,361 ,"100,428 ","5,428,535 ",54.1 
359,202110,堡林堡开矫,堡魂备,啊肺殿,"12,977 ","2,245,993 ","251,718,471 ",112.1 
360,202110,堡林堡开矫,堡魂备,背腊侩,169 ,"4,232,017 ","422,108,030 ",99.7 
361,202110,堡林堡开矫,堡魂备,丑荤侩,"6,278 ","2,769,031 ","147,877,489 ",53.4 
362,202110,堡林堡开矫,堡魂备,魂诀侩,"3,277 ","163,508,927 ","16,675,269,711 ",102 
363,202110,堡林堡开矫,堡魂备,缴 具,"1,274 ","494,715 ","30,961,034 ",62.6 
364,202110,堡林堡开矫,堡魂备,老馆侩,"24,315 ","63,829,120 ","6,994,778,629 ",109.6 
365,202110,堡林堡开矫,堡魂备,林琶侩,"86,435 ","49,455,783 ","5,189,567,674 ",104.9 
366,202110,堡林堡开矫,堡魂备,钦拌,"134,725 ","286,535,586 ","29,712,281,038 ",103.7 
367,202110,堡林堡开矫,巢备,啊肺殿,"8,752 ","1,051,371 ","114,870,423 ",109.3 
378,202110,堡林堡开矫,悼备,魂诀侩,424 ,"2,694,501 ","296,411,716 ",110 
369,202110,堡林堡开矫,巢备,丑荤侩,"2,437 ","640,871 ","36,780,630 ",57.4 
370,202110,堡林堡开矫,巢备,魂诀侩,469 ,"2,900,781 ","349,048,314 ",120.3 
371,202110,堡林堡开矫,巢备,缴 具,"1,057 ","389,082 ","21,667,701 ",55.7 
372,202110,堡林堡开矫,巢备,老馆侩,"11,909 ","23,987,460 ","2,733,717,016 ",114 
373,202110,堡林堡开矫,巢备,林琶侩,"56,630 ","25,686,027 ","2,754,320,980 ",107.2 
374,202110,堡林堡开矫,巢备,钦拌,"81,358 ","56,917,327 ","6,246,068,457 ",109.7 
375,202110,堡林堡开矫,悼备,啊肺殿,"5,447 ","807,625 ","86,163,552 ",106.7 
376,202110,堡林堡开矫,悼备,背腊侩,59 ,"2,849,127 ","240,136,122 ",84.3 
368,202110,堡林堡开矫,巢备,背腊侩,104 ,"2,261,735 ","235,663,393 ",104.2 
426,202111,堡林堡开矫,合备,魂诀侩,"1,613 ","59,130,103 ","6,983,812,650 ",118.1 
425,202111,堡林堡开矫,合备,丑荤侩,"2,840 ","1,794,297 ","81,800,218 ",45.6 
424,202111,堡林堡开矫,合备,背腊侩,193 ,"11,025,618 ","1,157,063,460 ",104.9 
420,202111,堡林堡开矫,悼备,老馆侩,"11,498 ","26,865,120 ","3,577,761,675 ",133.2 
422,202111,堡林堡开矫,悼备,钦拌,"61,156 ","47,881,631 ","5,790,847,872 ",120.9 
421,202111,堡林堡开矫,悼备,林琶侩,"42,435 ","13,849,282 ","1,459,509,430 ",105.4 
427,202111,堡林堡开矫,合备,缴 具,"1,482 ","1,844,583 ","130,414,076 ",70.7 
423,202111,堡林堡开矫,合备,啊肺殿,"12,520 ","1,739,025 ","186,531,619 ",107.3 
428,202111,堡林堡开矫,合备,老馆侩,"27,818 ","55,255,082 ","7,083,362,966 ",128.2 
432,202111,堡林堡开矫,辑备,背腊侩,105 ,"1,604,890 ","179,995,187 ",112.2 
430,202111,堡林堡开矫,合备,钦拌,"172,504 ","181,868,922 ","20,901,467,275 ",114.9 
431,202111,堡林堡开矫,辑备,啊肺殿,"8,724 ","1,078,211 ","119,892,418 ",111.2 
433,202111,堡林堡开矫,辑备,丑荤侩,"1,629 ","802,694 ","31,051,061 ",38.7 
434,202111,堡林堡开矫,辑备,魂诀侩,682 ,"23,571,353 ","3,044,683,442 ",129.2 
435,202111,堡林堡开矫,辑备,缴 具,746 ,"1,008,045 ","70,797,300 ",70.2 
436,202111,堡林堡开矫,辑备,老馆侩,"19,967 ","58,497,630 ","7,344,339,842 ",125.5 
437,202111,堡林堡开矫,辑备,林琶侩,"76,742 ","35,595,075 ","3,724,631,867 ",104.6 
419,202111,堡林堡开矫,悼备,缴 具,903 ,"701,584 ","45,624,210 ",65 
429,202111,堡林堡开矫,合备,林琶侩,"126,038 ","51,080,214 ","5,278,482,286 ",103.3 
438,202111,堡林堡开矫,辑备,钦拌,"108,595 ","122,157,898 ","14,515,391,117 ",118.8 
418,202111,堡林堡开矫,悼备,魂诀侩,427 ,"2,658,458 ","350,838,404 ",132 
416,202111,堡林堡开矫,悼备,背腊侩,59 ,"2,847,110 ","262,600,146 ",92.2 
417,202111,堡林堡开矫,悼备,丑荤侩,386 ,"112,542 ","5,626,770 ",50 
399,202111,堡林堡开矫,堡魂备,啊肺殿,"13,001 ","2,479,247 ","274,166,118 ",110.6 
400,202111,堡林堡开矫,堡魂备,背腊侩,170 ,"4,383,220 ","475,855,896 ",108.6 
401,202111,堡林堡开矫,堡魂备,丑荤侩,"8,393 ","4,523,369 ","202,376,112 ",44.7 
402,202111,堡林堡开矫,堡魂备,魂诀侩,"3,295 ","178,768,537 ","21,470,916,037 ",120.1 
404,202111,堡林堡开矫,堡魂备,老馆侩,"24,425 ","59,854,682 ","7,508,569,463 ",125.4 
405,202111,堡林堡开矫,堡魂备,林琶侩,"86,601 ","48,864,025 ","5,113,945,453 ",104.7 
406,202111,堡林堡开矫,堡魂备,钦拌,"137,153 ","299,905,074 ","35,108,058,423 ",117.1 
403,202111,堡林堡开矫,堡魂备,缴 具,"1,268 ","1,031,994 ","62,229,344 ",60.3 
408,202111,堡林堡开矫,巢备,背腊侩,103 ,"2,516,148 ","280,167,382 ",111.3 
407,202111,堡林堡开矫,巢备,啊肺殿,"8,765 ","1,123,955 ","120,253,799 ",107 
414,202111,堡林堡开矫,巢备,钦拌,"82,563 ","59,000,095 ","6,914,760,399 ",117.2 
413,202111,堡林堡开矫,巢备,林琶侩,"56,688 ","26,285,864 ","2,858,614,568 ",108.8 
412,202111,堡林堡开矫,巢备,老馆侩,"11,921 ","23,549,022 ","3,119,934,954 ",132.5 
415,202111,堡林堡开矫,悼备,啊肺殿,"5,448 ","847,535 ","88,887,237 ",104.9 
410,202111,堡林堡开矫,巢备,魂诀侩,467 ,"3,048,052 ","399,832,172 ",131.2 
409,202111,堡林堡开矫,巢备,丑荤侩,"3,564 ","1,218,877 ","50,070,996 ",41.1 
411,202111,堡林堡开矫,巢备,缴 具,"1,055 ","1,258,177 ","85,886,528 ",68.3 
466,202112,堡林堡开矫,合备,魂诀侩,"1,617 ","60,786,838 ","7,292,223,305 ",120 
460,202112,堡林堡开矫,悼备,老馆侩,"11,549 ","30,767,193 ","4,268,879,926 ",138.7 
461,202112,堡林堡开矫,悼备,林琶侩,"42,403 ","14,309,914 ","1,577,991,448 ",110.3 
462,202112,堡林堡开矫,悼备,钦拌,"61,163 ","53,855,551 ","6,792,117,659 ",126.1 
463,202112,堡林堡开矫,合备,啊肺殿,"12,536 ","1,788,323 ","188,318,816 ",105.3 
464,202112,堡林堡开矫,合备,背腊侩,193 ,"14,421,655 ","1,465,463,924 ",101.6 
465,202112,堡林堡开矫,合备,丑荤侩,"2,146 ","2,013,469 ","98,913,184 ",49.1 
467,202112,堡林堡开矫,合备,缴 具,"1,465 ","2,900,578 ","224,167,009 ",77.3 
459,202112,堡林堡开矫,悼备,缴 具,900 ,"1,130,450 ","85,252,128 ",75.4 
469,202112,堡林堡开矫,合备,林琶侩,"126,067 ","53,661,933 ","5,721,297,116 ",106.6 
470,202112,堡林堡开矫,合备,钦拌,"171,940 ","196,925,994 ","23,404,427,494 ",118.8 
471,202112,堡林堡开矫,辑备,啊肺殿,"8,717 ","1,159,631 ","125,632,553 ",108.3 
472,202112,堡林堡开矫,辑备,背腊侩,105 ,"2,355,327 ","255,527,580 ",108.5 
473,202112,堡林堡开矫,辑备,丑荤侩,"1,100 ","478,466 ","23,846,401 ",49.8 
474,202112,堡林堡开矫,辑备,魂诀侩,682 ,"27,488,272 ","3,431,216,502 ",124.8 
475,202112,堡林堡开矫,辑备,缴 具,740 ,"1,485,977 ","114,715,191 ",77.2 
476,202112,堡林堡开矫,辑备,老馆侩,"20,012 ","64,050,824 ","8,849,702,280 ",138.2 
468,202112,堡林堡开矫,合备,老馆侩,"27,916 ","61,353,198 ","8,414,044,140 ",137.1 
