,0,1,2
185,부산광역시 해운대구,2021.06.29 08:00 / 2021.06.29 18:10,1010
186,대전광역시 대덕구,2021.06.28 17:00 / 2021.06.28 16:02,1000
187,울산광역시 울주군,2021.06.28 15:30 / 2021.06.28 15:21,103
188,울산광역시 북구,2021.06.28 15:00 / 2021.06.28 15:22,1
189,충청남도 서천군,2021.06.28 15:00 / 2021.06.28 15:57,12615
190,부산광역시 북구,2021.06.28 14:10 / 2021.06.28 15:27,210
191,충청남도 천안시 서북구,2021.06.28 10:25 / 2021.06.28 17:23,5000
192,충청남도 천안시 서북구,2021.06.28 10:25 / 2021.06.28 17:07,5000
193,부산광역시 부산진구,2021.06.28 10:00 / 2021.06.28 15:22,1000
194,전라남도 영암군,2021.06.25 16:00 / 2021.06.25 15:10,2000
195,서울특별시 은평구,2021.06.25 15:03 / 2021.06.25 15:01,110
196,서울특별시 성북구,2021.06.25 15:02 / 2021.06.25 15:00,110
197,서울특별시 종로구,2021.06.25 15:00 / 2021.06.25 15:00,110
198,서울특별시 성동구,2021.06.25 15:00 / 2021.06.25 15:02,110
199,서울특별시 광진구,2021.06.25 15:00 / 2021.06.25 15:01,110
200,서울특별시 광진구,2021.06.25 15:00 / 2021.06.25 15:02,1100
201,서울특별시 광진구,2021.06.25 15:00 / 2021.06.25 15:00,110
202,서울특별시 마포구,2021.06.25 14:00 / 2021.06.25 15:08,110
203,전라남도 영암군,2021.06.25 14:00 / 2021.06.25 14:24,2000
204,서울특별시 종로구,2021.06.25 10:30 / 2021.06.25 10:21,1100
205,서울특별시 동대문구,2021.06.25 10:30 / 2021.06.25 10:31,1100
206,서울특별시 도봉구,2021.06.25 10:30 / 2021.06.25 10:31,1100
207,충청남도 공주시,2021.06.24 06:00 / 2021.06.28 15:58,1230
208,인천광역시 미추홀구,2021.06.23 15:19 / 2021.06.23 15:18,10000
209,인천광역시 강화군,2021.06.23 15:19 / 2021.06.23 15:19,1000
210,인천광역시 중구,2021.06.23 15:18 / 2021.06.23 15:18,1000
211,경기도 김포시,2021.06.23 15:11 / 2021.06.23 15:23,1000
212,인천광역시 강화군,2021.06.23 15:00 / 2021.06.23 15:19,22000
213,경기도 김포시,2021.06.23 15:00 / 2021.06.23 15:21,1000
214,인천광역시 남동구,2021.06.23 15:00 / 2021.06.23 15:23,1000
215,인천광역시 부평구,2021.06.23 14:39 / 2021.06.23 14:38,1000
216,인천광역시 계양구,2021.06.23 14:17 / 2021.06.23 15:19,123
217,대구광역시 북구,2021.06.23 14:00 / 2021.06.23 14:56,220
218,전라북도 무주군,2021.06.22 09:10 / 2021.06.22 10:26,300
